tweet,label
person dey untop your case already and you don dey give am attention warming up to him already but you still dey entertain other niggas,2
peace wey una don pieces overcalcu don dey do baba ontop tollgate money wey no enter join me laugh biko,2
my darling me wey dey make hair i dey always wear cap for some places o,1
lmao i just remembered how a girl slapped me in secondary school after night prep i turned the second cheek to her so she can slap it as per the bible says if someone slaps you turn the second cheek deep down na lie oooo i no sabi fight na why,2
ogs had better started working i no fit dey shalaye wen people dey banter,0
i need shoes sha but if i text philoe now my bank account just fit disappear,2
why i dey chop by this time ‍️,2
my own different i dey post my account balance steady namake una epp me abeg lol,0
any small thing na loss play win opponent retire na refund play win your player retires na loss,2
kayode kayode kayode how many times did i call you convo is on you dey show us ppl wey dey sleep are u ok like this ‍️,2
so my celing fan sliced my finger and i have to go dress it at a pharmacy but im so scared to leave my house na person wey dey alive wey fit treat finger,2
be like say everything na simulation make dem wake us up say dem no kill anybody and there was no rioting by hoodlums and our government actually did the simple things that we requested,2
na only my ogas and fit dash una airpod pro free me how much i get,2
chai see wetin i dey like na,0
wait o so if u dey do voice note for whatsapp when you dey laugh the voice not con mistakenly canceled you go laugh again,0
read my brothers birthday message to his wife this morning has to be the sweetest and most sincere romantic piece ive read in a while love does bring out the best in us eh in other news ive saved the message sha na wife wey i go send am to na hin remain,0
wakajugbe na see finish cause am nor vex for your girl‍️ oya compliment me next time i go try do awwww,0
they are not mad na he look u say u nr fit pay for better apartment no b im make am carry u go banana pond go rent house,0
swipe brave soul skinny jeans price n̶ ️ color blue size win lin dm to order shakarashop online shop wen sabi you sef go dey do shakara warri nigeria,0
i actually thought of wearing isiagu on my next date lord knows im doing it now na the same uber we dey enter self,0
lmao those one wey dey carry lowcut na dem dread pass,2
toh as im not + im going back to my fathers house please na pikin i be i no kill person,2
guy i no dey use that beer playi miss am gan for benin here but thank god say dem get hero lager too wey dey similar,0
if i were married nites like this would be a struggle loool even her plantain sef i wont eat,2
chelsea fans dey hope make madrid lose barca fans dey support bayern lmaoo see how man utd fans dey suppo,0
arsenal fc board member i c u jare u r mad over something you expected to happen and now going the other way roundi feel your pain i can still fetch out your summer twit about what im talking about but pls focus on your team n leave us alonena u comot na u still de care,2
lmao dah woman wey sey i no carrim come dem dey forget pos,1
